deliveryId,DriverId,PickupLocId,DropLocId,DeliveryInstruction,Delivered,DeliveryTime,OrderId,DriverEarning
42,34,7,1,'Deliver to back door,TRUE,'2023-03-31',20,1
43,13,18,27,'Quiet neighborhood,TRUE,'2023-09-16',20,2
44,6,6,19,'Sensitive package,TRUE,'2023-08-05',22,0
45,9,2,6,"'Contact recipient upon arrival for instructions.'""",TRUE,'2023-05-31',35,3
46,40,24,23,'Fragile items inside,FALSE,'2023-09-13',37,3
47,4,2,25,'No contact delivery,FALSE,'2023-03-09',38,3
48,14,15,26,'Please deliver to reception,FALSE,'2023-03-10',15,1
49,1,36,1,'Gate code 1234,TRUE,'2022-12-26',7,0
50,39,2,13,'Call upon arrival,FALSE,'2023-01-14',17,4
51,10,19,16,'Deliver to back door,FALSE,'2023-10-13',18,1
52,39,39,19,'Quiet neighborhood,FALSE,'2023-11-02',16,0
53,2,11,9,'Sensitive package,FALSE,'2023-07-31',13,5
54,14,25,34,'Please double-check address,FALSE,'2023-08-23',24,4
55,40,12,19,'If no response,FALSE,'2023-11-30',2,2
56,7,12,28,'Deliver before 5 PM,TRUE,'2023-07-18',12,2
57,37,36,36,'Ring bell twice,TRUE,'2023-11-22',27,1
58,16,36,10,"'Keep package out of direct sunlight.'""",TRUE,'2023-01-08',27,4
59,22,2,12,'Use side gate,TRUE,'2023-08-13',3,5
60,14,35,7,"'Please confirm ID before handing over the package.'""",FALSE,'2023-02-23',5,0
61,2,33,26,'Apartment complex,FALSE,'2023-03-23',2,3
62,34,13,36,'Please be discreet,FALSE,'2023-07-19',3,3
63,5,28,24,'Deliver to the third floor,TRUE,'2023-01-30',2,4
64,20,37,33,"'Need assistance to carry heavy package upstairs.'""",FALSE,'2023-04-10',12,3
65,7,2,21,"'Notify 10 minutes before arrival for gate opening.'""",FALSE,'2023-01-22',5,0
66,34,30,17,'Sensitive medical supplies,TRUE,'2023-07-11',15,4
67,14,7,34,'Deliver to office reception,FALSE,'2023-01-18',30,0
68,33,35,39,'Leave in mail room,FALSE,'2023-03-15',29,3
69,6,40,25,'Alert security at gate for entry,FALSE,'2023-11-20',21,5
70,35,8,39,'Require immediate delivery,TRUE,'2023-01-04',27,1
71,30,38,23,'Please call upon arrival,TRUE,'2023-11-19',38,5
72,26,33,13,'Residential area,FALSE,'2023-09-07',17,4
73,9,22,21,'Please handle with care,FALSE,'2023-05-08',10,5
74,35,24,25,"'Leave package at the front porch if no one is home.'""",TRUE,'2023-10-03',25,2
75,36,5,5,"'Deliver to the office reception on the 3rd floor.'""",TRUE,'2023-04-14',3,3
76,12,3,34,"'Call recipient when nearby for instructions.'""",TRUE,'2023-06-22',1,2
77,29,15,15,"'Please leave package in the mailbox if it fits.'""",FALSE,'2023-02-02',12,1
78,30,35,20,"'Recipient will be waiting in the lobby with ID.'""",FALSE,'2023-02-06',4,5
79,2,12,17,'Delivery to the rear entrance,TRUE,'2023-07-18',26,4
80,13,39,8,'Recipient is a neighbor,TRUE,'2023-02-17',6,0
